PATH,MULTI-RESULT,image,FOLD,YY1,YY2
image_7/7_0.jpg,7,7_0,0.0,65.0,84.0
image_7/7_5.jpg,7,7_5,0.0,65.0,90.0
image_7/7_9.jpg,7,7_9,6.0,73.0,89.0
image_7/7_46.jpg,7,7_46,4.0,59.0,89.0
image_7/7_2.jpg,7,7_2,4.0,64.0,93.0
image_7/7_50.jpg,7,7_50,9.0,64.0,89.0
image_7/7_1.jpg,7,7_1,3.0,70.0,89.0
image_7/7_15.jpg,7,7_15,7.0,70.0,85.0
image_7/7_12.jpg,7,7_12,7.0,65.0,90.0
image_7/7_22.jpg,7,7_22,7.0,67.0,90.0
image_7/7_26.jpg,7,7_26,9.0,67.0,85.0
image_7/7_17.jpg,7,7_17,6.0,57.0,84.0
image_7/7_52.jpg,7,7_52,4.0,71.0,92.0
image_7/7_4.jpg,7,7_4,3.0,65.0,93.0
image_7/7_35.jpg,7,7_35,6.0,62.0,92.0
image_7/7_8.jpg,7,7_8,6.0,64.0,87.0
image_7/7_48.jpg,7,7_48,7.0,67.0,87.0
image_7/7_6.jpg,7,7_6,8.0,64.0,90.0
image_7/7_30.jpg,7,7_30,0.0,67.0,95.0
image_7/7_19.jpg,7,7_19,4.0,64.0,85.0
image_7/7_11.jpg,7,7_11,2.0,67.0,84.0
image_7/7_7.jpg,7,7_7,2.0,67.0,89.0
image_7/7_21.jpg,7,7_21,8.0,73.0,92.0
image_7/7_29.jpg,7,7_29,5.0,65.0,90.0
image_7/7_42.jpg,7,7_42,5.0,68.0,93.0
image_7/7_39.jpg,7,7_39,8.0,59.0,85.0
image_7/7_3.jpg,7,7_3,4.0,65.0,90.0
image_7/7_27.jpg,7,7_27,3.0,70.0,85.0
image_7/7_47.jpg,7,7_47,5.0,71.0,92.0
image_7/7_20.jpg,7,7_20,1.0,68.0,89.0
image_7/7_24.jpg,7,7_24,5.0,71.0,93.0
image_7/7_51.jpg,7,7_51,2.0,65.0,90.0
image_7/7_18.jpg,7,7_18,1.0,67.0,95.0
image_7/7_16.jpg,7,7_16,9.0,60.0,90.0
image_7/7_43.jpg,7,7_43,0.0,65.0,87.0
image_7/7_25.jpg,7,7_25,3.0,62.0,84.0
image_7/7_55.jpg,7,7_55,0.0,62.0,90.0
image_7/7_23.jpg,7,7_23,3.0,67.0,87.0
image_7/7_13.jpg,7,7_13,1.0,67.0,89.0
image_7/7_28.jpg,7,7_28,2.0,68.0,89.0
image_7/7_49.jpg,7,7_49,1.0,65.0,90.0
image_7/7_32.jpg,7,7_32,1.0,73.0,103.0
image_7/7_31.jpg,7,7_31,2.0,64.0,90.0
image_7/7_34.jpg,7,7_34,9.0,73.0,98.0
image_7/7_14.jpg,7,7_14,8.0,64.0,85.0
image_1/1_258.jpg,1,1_258,5.0,70.0,96.0
image_1/1_36.jpg,1,1_36,5.0,62.0,92.0
image_1/1_180.jpg,1,1_180,9.0,65.0,90.0
image_1/1_311.jpg,1,1_311,7.0,48.0,73.0
image_1/1_214.jpg,1,1_214,6.0,51.0,76.0
image_1/1_234.jpg,1,1_234,2.0,59.0,76.0
image_1/1_412.jpg,1,1_412,3.0,71.0,101.0
image_1/1_96.jpg,1,1_96,5.0,45.0,73.0
image_1/1_356.jpg,1,1_356,3.0,56.0,85.0
image_1/1_40.jpg,1,1_40,7.0,62.0,92.0
image_1/1_231.jpg,1,1_231,2.0,53.0,75.0
image_1/1_432.jpg,1,1_432,6.0,73.0,101.0
image_1/1_452.jpg,1,1_452,7.0,65.0,89.0
image_1/1_120.jpg,1,1_120,8.0,71.0,101.0
image_1/1_213.jpg,1,1_213,8.0,78.0,98.0
image_1/1_271.jpg,1,1_271,3.0,56.0,87.0
image_1/1_230.jpg,1,1_230,5.0,56.0,76.0
image_1/1_272.jpg,1,1_272,2.0,48.0,73.0
image_1/1_13.jpg,1,1_13,6.0,48.0,75.0
image_1/1_33.jpg,1,1_33,3.0,46.0,73.0
image_1/1_14.jpg,1,1_14,7.0,62.0,98.0
image_1/1_217.jpg,1,1_217,0.0,68.0,98.0
image_1/1_215.jpg,1,1_215,9.0,51.0,82.0
image_1/1_330.jpg,1,1_330,3.0,64.0,93.0
